Sr.No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR_Result
99,SSBS/W/2021/99,S/99,11/10/2021,Shivajinagar Vaidhawadi,Genepath,0,0,0,Negative
100,SSBS/W/2021/100,S/100,11/10/2021,Shivajinagar Chaturshringi,Genepath,0,0,0,Negative
101,SSBS/W/2021/101,S/101,11/10/2021,Sanjeevan hospital Kothrud,Genepath,0,0,0,Negative
102,SSBS/W/2021/102,S/102,11/10/2021,Karve road Kothrud,Genepath,0,0,0,Negative
103,SSBS/W/2021/103,S/103,11/10/2021,Warje Mumbai/Bangalore Highway,Genepath,0,0,0,Negative
104,SSBS/W/2021/104,S/104,11/10/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
105,SSBS/W/2021/105,S/105,11/11/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
106,SSBS/W/2021/106,S/106,11/11/2021,Baner/Balewadi,Genepath,0,0,0,Negative
107,SSBS/W/2021/107,S/107,11/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
108,SSBS/W/2021/108,S/108,11/11/2021,"DP road, Botanical Garden, Aundh",Genepath,39.4,38.1,38.5,Negative
109,SSBS/W/2021/109,S/109,11/11/2021,Someshwarwadi,Genepath,0,0,0,Negative
110,SSBS/W/2021/110,S/110,11/11/2021,Jai bhavani nagar pashan,Genepath,0,0,0,Negative
111,SSBS/W/2021/111,S/111,11/12/2021,"Chinchwad, Aditya birla hospital",Genepath,0,0,0,Negative
112,SSBS/W/2021/112,S/112,11/12/2021,"Shastrinagar, pimpri",Genepath,39.1,0,0,Negative
113,SSBS/W/2021/113,S/113,11/12/2021,kasarwadi pimple gurav road,Genepath,0,38,0,Negative
114,SSBS/W/2021/114,S/114,11/12/2021,"Pimple gurav, 60 feet road",Genepath,37.6,39.47,38.95,Negative
115,SSBS/W/2021/115,S/115,11/12/2021,Dapodi / Old sangvi Bridge,Genepath,38.3,0,38.8,Negative
116,SSBS/W/2021/116,S/116,15/11/2021,Shivajinagar Vaidhawadi,Genepath,0,0,38.6,Negative
117,SSBS/W/2021/117,S/117,15/11/2021,Shivajinagar Chaturshringi,Genepath,0,0,0,Negative
118,SSBS/W/2021/118,S/118,15/11/2021,Sanjeevan hospital Kothrud,Genepath,39.2,0,0,Negative
119,SSBS/W/2021/119,S/119,15/11/2021,Karve road Kothrud,Genepath,0,0,0,Negative
120,SSBS/W/2021/120,S/120,15/11/2021,Warje Mumbai/Bangalore Highway,Genepath,36.5,38.7,37,Negative
121,SSBS/W/2021/121,S/121,15/11/2021,Kothrud Bus depot,Genepath,39.2,39,37.7,Negative
122,SSBS/W/2021/122,S/122,16/10/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
123,SSBS/W/2021/123,S/123,16/10/2021,Baner/Balewadi,Genepath,0,37,39.5,Negative
124,SSBS/W/2021/124,S/124,16/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
125,SSBS/W/2021/125,S/125,16/10/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
